time DOAR  MEZC  IGUA 
156.437100878 4194.112 2822.906 1812.283
156.43810157 4194.153 2822.947 1812.321
156.439102261 4194.194 2822.987 1812.358
156.440102953 4194.234 2823.027 1812.396
156.441103644 4194.275 2823.067 1812.433
156.442104336 4192.275 2815.691 1803.202
156.443105027 4192.316 2815.731 1803.239
156.444105719 4192.357 2815.771 1803.277
156.44510641 4192.397 2815.812 1803.314
156.446107102 4192.438 2815.852 1803.351
156.447107793 4192.479 2815.892 1803.389
156.448108485 4192.52 2815.932 1803.426
156.449109176 4192.56 2815.973 1803.464
156.450109868 4192.601 2816.013 1803.501
156.451110559 4192.642 2816.053 1803.538
156.452111251 4192.683 2816.093 1803.576
156.453111942 4192.723 2816.134 1803.613
156.454112634 4192.764 2816.174 1803.65
156.455113325 4192.805 2816.214 1803.688
156.456114017 4192.846 2816.254 1803.725
156.457114708 4192.886 2816.295 1803.763
156.4581154 4192.927 2816.335 1803.8
156.459116091 4192.968 2816.375 1803.837
156.460116783 4193.008 2816.415 1803.875
156.461117474 4193.049 2816.456 1803.912
156.462118166 4193.09 2816.496 1803.949
156.463118857 4193.131 2816.536 1803.987
156.464119549 4193.171 2816.576 1804.024
156.46512024 4193.212 2816.617 1804.062
156.466120932 4193.253 2816.657 1804.099
156.467121623 4193.294 2816.697 1804.136
156.468122315 4193.334 2816.737 1804.174
156.469123006 4193.375 2816.778 1804.211
156.470123698 4193.416 2816.818 1804.249
156.471124389 4193.457 2816.858 1804.286
156.472125081 4193.497 2816.898 1804.323
156.473125772 4193.538 2816.938 1804.361
156.474126464 4193.579 2816.979 1804.398
156.475127155 4193.619 2817.019 1804.435
156.476127847 4193.66 2817.059 1804.473
156.477128538 4193.701 2817.099 1804.51
156.47812923 4193.742 2817.14 1804.548
156.479129921 4193.782 2817.18 1804.585
156.480130613 4193.823 2817.22 1804.622
156.481131304 4193.864 2817.26 1804.66
156.482131996 4193.905 2817.301 1804.697
156.483132687 4193.945 2817.341 1804.734
156.484133378 4193.986 2817.381 1804.772
156.48513407 4194.027 2817.421 1804.809
156.486134761 4194.068 2817.462 1804.847
156.487135453 4194.108 2817.502 1804.884
156.488136144 4194.149 2817.542 1804.921
156.489136836 4194.19 2817.582 1804.959
156.490137527 4194.23 2817.623 1804.996
156.491138219 4194.271 2817.663 1805.034
156.49213891 4194.312 2817.703 1805.071
156.493139602 4194.353 2817.743 1805.108
156.494140293 4194.393 2817.784 1805.146
156.495140985 4194.434 2817.824 1805.183
156.496141676 4194.475 2817.864 1805.22
156.497142368 4194.516 2817.904 1805.258
156.498143059 4194.556 2817.945 1805.295
156.499143751 4194.597 2817.985 1805.333
